OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT,SHAPE_Length,SHAPE_Area
1921,MDR,Medium-Density Residential,,, , , ,2.53944732,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{F8526C15-A2FC-4873-9722-4626239435F6},40.6,1555.1444009512,110617.88261709
1922,OS,Open Space,,, , , ,1.32365028,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{909EC936-E06D-450B-AE10-7A659A7CBE5F},0,1076.79661214432,57657.9754449461
1923,OS,Open Space,,, , , ,4.71702518,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{B00AE490-EE3C-4A41-8B85-5382F9BD6DD6},0,2344.98038652038,205472.795070686
1924,MDR,Medium-Density Residential,,, , , ,0.9364003,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{3C86BED0-4714-47CE-91F2-931F33FA79A5},15,808.005062875128,40789.4341152342
1925,OIR,Office/Institutional/Residential,,, , , ,1.16546178,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{BB9BF55C-5516-4A75-A451-6DE7430D6024},0,950.380930765074,50767.3120614544
1926,OS,Open Space,,, , , ,3.40255277,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A82A3835-FC7A-423B-97B0-0C8A43E69D82},0,2152.89609786446,148214.605617147
1927,MDR,Medium-Density Residential,,, , , ,0.52576867,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{A84B8983-9C42-4F24-A10C-D5830EFD4F00},8.5,633.111705279692,22902.3917529276
1928,OS,Open Space,,, , , ,0.97618291,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{FAC3D760-AD27-4E01-B72C-15C62AF2F94D},0,837.478730766374,42522.3574286691
1929,LDC,Low-Density Commercial,,, , , ,0.45476912,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{D7141B54-21D0-4E4B-A9E4-3167BCB5726E},0,587.284616797218,19809.6635887322
1930,OS,Open Space,,, , , ,4.08011584,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{2647573A-E9BD-4B33-95F0-C0BBA0B058C4},0,2144.07561497345,177729.135194496
1931,LDR,Low-Density Residential,,,0-8, , ,7.75456605,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{95C22907-3B52-4FF5-A1B8-62B89D39AB44},62,3210.8074402511,337787.546172564
1932,HDR,High-Density Residential,,, , , ,38.12358767,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{9B8AC319-518F-49F6-AE54-42A3B216B4D6},1229.3,6010.02635591265,1660656.8362149
1933,LDC,Low-Density Commercial,,, , , ,0.63433267,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{D6E32CD5-4EC5-473B-BE34-C5CEA9BC1E43},0,722.705937334312,27631.4204130007
